Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 66.0.3359.139,,2018-05-15 12:47:34,2018-05-15 12:49:04,1m - 29.992s,PASSED
,,,,,,
Test Cases/valid_login,Chrome 66.0.3359.139,,2018-05-15 12:47:35,2018-05-15 12:48:07,32.444s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-15 12:47:36,2018-05-15 12:47:44,8.194s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-15 12:47:44,2018-05-15 12:47:48,4.070s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 12:47:48,2018-05-15 12:47:54,6.207s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 12:47:54,2018-05-15 12:47:59,4.324s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 12:47:59,2018-05-15 12:48:03,4.236s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-15 12:48:03,2018-05-15 12:48:05,2.322s,PASSED
,,,,,,
Test Cases/valid_login,Chrome 66.0.3359.139,,2018-05-15 12:48:07,2018-05-15 12:48:37,29.528s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-15 12:48:07,2018-05-15 12:48:13,5.482s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-15 12:48:13,2018-05-15 12:48:17,4.432s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 12:48:17,2018-05-15 12:48:24,6.702s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 12:48:24,2018-05-15 12:48:28,4.252s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 12:48:28,2018-05-15 12:48:32,4.186s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-15 12:48:32,2018-05-15 12:48:35,2.320s,PASSED
,,,,,,
Test Cases/valid_login,Chrome 66.0.3359.139,,2018-05-15 12:48:37,2018-05-15 12:49:04,27.455s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-15 12:48:37,2018-05-15 12:48:42,5.258s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-15 12:48:42,2018-05-15 12:48:46,4.347s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 12:48:46,2018-05-15 12:48:52,6.099s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-15 12:48:52,2018-05-15 12:48:57,4.232s,PASSED
click,Chrome 66.0.3359.139,,2018-05-15 12:48:57,2018-05-15 12:49:00,2.979s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-15 12:49:00,2018-05-15 12:49:02,2.462s,PASSED
