Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.79,,2018-06-25 10:56:25,2018-06-25 11:01:25,4m - 59.252s,FAILED
,,,,,,
Test Cases/register_gateway,Chrome 67.0.3396.79,,2018-06-25 10:56:26,2018-06-25 10:57:27,1m - 0.978s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:56:27,2018-06-25 10:56:35,7.779s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:56:35,2018-06-25 10:56:39,4.178s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:56:39,2018-06-25 10:56:44,4.563s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:56:44,2018-06-25 10:56:48,4.384s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:56:48,2018-06-25 10:56:50,2.212s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:56:50,2018-06-25 10:56:53,2.360s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-25 10:56:53,2018-06-25 10:56:54,1.090s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-06-25 10:56:54,2018-06-25 10:56:56,2.107s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-25 10:56:56,2018-06-25 10:56:58,2.114s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:56:58,2018-06-25 10:57:00,2.286s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:57:00,2018-06-25 10:57:04,4.324s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:57:04,2018-06-25 10:57:09,4.232s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:57:09,2018-06-25 10:57:13,4.339s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:57:13,2018-06-25 10:57:15,2.196s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-25 10:57:15,2018-06-25 10:57:16,1.064s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-25 10:57:16,2018-06-25 10:57:18,2.050s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:57:18,2018-06-25 10:57:23,4.328s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-25 10:57:23,2018-06-25 10:57:25,2.246s,PASSED
,,,,,,
Test Cases/register_node,Chrome 67.0.3396.79,,2018-06-25 10:57:27,2018-06-25 10:58:25,57.538s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:57:27,2018-06-25 10:57:33,5.404s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:57:33,2018-06-25 10:57:37,4.318s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:57:37,2018-06-25 10:57:42,4.488s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-25 10:57:42,2018-06-25 10:57:46,4.441s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:57:46,2018-06-25 10:57:48,2.183s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:57:48,2018-06-25 10:57:51,2.444s,PASSED
click,Chrome 67.0.3396.79,,2018-06-25 10:57:51,2018-06-25 10:58:22,31.789s,FAILED
,,,,,,
Test Cases/map_node,Chrome 67.0.3396.79,,2018-06-25 10:58:25,2018-06-25 10:59:24,59.494s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-25 10:58:25,2018-06-25 10:58:33,7.723s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-25 10:58:33,2018-06-25 10:58:37,4.115s,PASSED
