Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add_new_sms_multiple,Chrome 67.0.3396.79,,2018-06-13 14:35:26,2018-06-13 14:36:32,1m - 6.756s,FAILED
,,,,,,
Test Cases/add_new_sms_multiple,Chrome 67.0.3396.79,,2018-06-13 14:35:26,2018-06-13 14:36:30,1m - 4.323s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-13 14:35:27,2018-06-13 14:35:35,7.619s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-13 14:35:35,2018-06-13 14:35:38,3.236s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-13 14:35:38,2018-06-13 14:35:44,6.045s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-13 14:35:44,2018-06-13 14:35:48,4.275s,PASSED
click,Chrome 67.0.3396.79,,2018-06-13 14:35:48,2018-06-13 14:35:52,3.735s,PASSED
click,Chrome 67.0.3396.79,,2018-06-13 14:35:52,2018-06-13 14:35:54,2.449s,PASSED
click,Chrome 67.0.3396.79,,2018-06-13 14:35:54,2018-06-13 14:35:57,2.273s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-13 14:35:57,2018-06-13 14:36:28,31.764s,FAILED
