Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add_remove_multiple_members,Chrome 67.0.3396.79,,2018-06-11 14:18:16,2018-06-11 14:25:12,6m - 56.351s,PASSED
,,,,,,
Test Cases/add_very_first_member,Chrome 67.0.3396.79,,2018-06-11 14:18:17,2018-06-11 14:19:08,51.421s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 14:18:18,2018-06-11 14:18:26,8.448s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 14:18:26,2018-06-11 14:18:30,3.779s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:18:30,2018-06-11 14:18:36,6.184s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-11 14:18:36,2018-06-11 14:18:40,3.798s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:18:40,2018-06-11 14:18:44,4.012s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:18:44,2018-06-11 14:18:46,2.265s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:18:46,2018-06-11 14:18:49,2.293s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:18:49,2018-06-11 14:18:53,4.723s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:18:53,2018-06-11 14:18:55,2.186s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:18:55,2018-06-11 14:18:58,2.219s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 14:18:58,2018-06-11 14:18:59,1.112s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 14:18:59,2018-06-11 14:19:01,2.152s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:01,2018-06-11 14:19:04,2.980s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 14:19:04,2018-06-11 14:19:06,2.031s,PASSED
,,,,,,
Test Cases/add_second_multiple_members,Chrome 67.0.3396.79,,2018-06-11 14:19:08,2018-06-11 14:19:55,46.425s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 14:19:08,2018-06-11 14:19:14,5.156s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 14:19:14,2018-06-11 14:19:17,3.719s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:19:17,2018-06-11 14:19:23,6.011s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-11 14:19:23,2018-06-11 14:19:27,3.271s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:27,2018-06-11 14:19:31,4.011s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:31,2018-06-11 14:19:33,2.326s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:33,2018-06-11 14:19:35,2.279s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:19:35,2018-06-11 14:19:40,4.599s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:40,2018-06-11 14:19:42,2.187s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:42,2018-06-11 14:19:44,2.177s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 14:19:44,2018-06-11 14:19:45,1.076s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 14:19:45,2018-06-11 14:19:47,2.088s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:19:47,2018-06-11 14:19:50,3.029s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 14:19:50,2018-06-11 14:19:52,2.010s,PASSED
,,,,,,
Test Cases/add_second_multiple_members,Chrome 67.0.3396.79,,2018-06-11 14:19:55,2018-06-11 14:20:44,49.889s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 14:19:55,2018-06-11 14:20:00,5.287s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 14:20:00,2018-06-11 14:20:04,3.871s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:20:04,2018-06-11 14:20:13,9.392s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-11 14:20:13,2018-06-11 14:20:16,3.252s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:20:16,2018-06-11 14:20:20,4.048s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:20:20,2018-06-11 14:20:23,2.299s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:20:23,2018-06-11 14:20:25,2.235s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 14:20:25,2018-06-11 14:20:30,4.589s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:20:30,2018-06-11 14:20:32,2.187s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:20:32,2018-06-11 14:20:34,2.177s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 14:20:34,2018-06-11 14:20:35,1.094s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 14:20:35,2018-06-11 14:20:37,2.086s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 14:20:37,2018-06-11 14:20:40,3.008s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 14:20:40,2018-06-11 14:20:42,2.192s,PASSED
,,,,,,
