Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_bin_with_cables_fan_plenum,IE 11,,2018-05-30 09:35:24,2018-05-30 09:36:03,38.923s,FAILED
,,,,,,
Test Cases/create_bin_with_cables_without_ws_fan_plenum,IE 11,,2018-05-30 09:35:25,2018-05-30 09:35:39,14.215s,FAILED
openBrowser,IE 11,,2018-05-30 09:35:26,2018-05-30 09:35:34,7.636s,PASSED
navigateToUrl,IE 11,,2018-05-30 09:35:34,2018-05-30 09:35:35,1.131s,PASSED
setText,IE 11,,2018-05-30 09:35:35,2018-05-30 09:35:37,2.274s,FAILED
,,,,,,
Test Cases/add_fan_on_bin,IE 11,,2018-05-30 09:35:39,2018-05-30 09:35:51,11.545s,FAILED
openBrowser,IE 11,,2018-05-30 09:35:40,2018-05-30 09:35:46,5.784s,PASSED
navigateToUrl,IE 11,,2018-05-30 09:35:46,2018-05-30 09:35:47,1.078s,PASSED
setText,IE 11,,2018-05-30 09:35:47,2018-05-30 09:35:49,2.068s,FAILED
,,,,,,
Test Cases/add_plenum_on_bin,IE 11,,2018-05-30 09:35:51,2018-05-30 09:36:02,11.056s,FAILED
openBrowser,IE 11,,2018-05-30 09:35:51,2018-05-30 09:35:57,5.487s,PASSED
navigateToUrl,IE 11,,2018-05-30 09:35:57,2018-05-30 09:35:58,1.097s,PASSED
setText,IE 11,,2018-05-30 09:35:58,2018-05-30 09:36:00,2.051s,FAILED
