Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
create_delete_bin_with_cables_ws_fan_plenum,Chrome 66.0.3359.181,,2018-06-04 12:16:17,2018-06-04 12:21:58,5m - 40.348s,PASSED
,,,,,,
Test Cases/create_bin_with_cables_without_ws_fan_plenum,Chrome 66.0.3359.181,,2018-06-04 12:16:18,2018-06-04 12:18:05,1m - 47.434s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-04 12:16:19,2018-06-04 12:16:28,9.125s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-04 12:16:28,2018-06-04 12:16:32,3.674s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-04 12:16:32,2018-06-04 12:16:38,6.092s,PASSED
setEncryptedText,Chrome 66.0.3359.181,,2018-06-04 12:16:38,2018-06-04 12:16:42,3.729s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:16:42,2018-06-04 12:16:46,3.771s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:16:46,2018-06-04 12:16:48,2.332s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:16:48,2018-06-04 12:16:50,2.374s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:16:50,2018-06-04 12:16:53,2.355s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-04 12:16:53,2018-06-04 12:16:57,4.300s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:16:57,2018-06-04 12:16:59,2.186s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:16:59,2018-06-04 12:17:01,2.237s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:01,2018-06-04 12:17:04,2.353s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-04 12:17:04,2018-06-04 12:17:05,1.082s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-06-04 12:17:05,2018-06-04 12:17:07,2.104s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:07,2018-06-04 12:17:09,2.192s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:09,2018-06-04 12:17:11,2.261s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:11,2018-06-04 12:17:14,2.209s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:14,2018-06-04 12:17:16,2.271s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:16,2018-06-04 12:17:18,2.275s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-04 12:17:18,2018-06-04 12:17:22,4.249s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-04 12:17:22,2018-06-04 12:17:27,4.286s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:27,2018-06-04 12:17:27,0.015s,NOT_RUN
setText,Chrome 66.0.3359.181,,2018-06-04 12:17:27,2018-06-04 12:17:27,0.012s,NOT_RUN
click,Chrome 66.0.3359.181,,2018-06-04 12:17:27,2018-06-04 12:17:29,2.235s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:29,2018-06-04 12:17:31,2.227s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:31,2018-06-04 12:17:33,2.276s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:33,2018-06-04 12:17:36,2.194s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:36,2018-06-04 12:17:38,2.197s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:38,2018-06-04 12:17:40,2.207s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-04 12:17:40,2018-06-04 12:17:41,1.069s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-06-04 12:17:41,2018-06-04 12:17:43,2.050s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:43,2018-06-04 12:17:45,2.184s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:45,2018-06-04 12:17:48,2.229s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:48,2018-06-04 12:17:50,2.157s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-04 12:17:50,2018-06-04 12:17:51,1.057s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-06-04 12:17:51,2018-06-04 12:17:53,2.096s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:53,2018-06-04 12:17:55,2.162s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-06-04 12:17:55,2018-06-04 12:17:56,1.068s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-06-04 12:17:56,2018-06-04 12:17:58,2.048s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:17:58,2018-06-04 12:18:01,3.011s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-06-04 12:18:01,2018-06-04 12:18:03,2.133s,PASSED
,,,,,,
Test Cases/add_plenum_on_bin,Chrome 66.0.3359.181,,2018-06-04 12:18:05,2018-06-04 12:19:43,1m - 37.632s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-04 12:18:06,2018-06-04 12:18:11,4.882s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-04 12:18:11,2018-06-04 12:18:14,3.291s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-04 12:18:14,2018-06-04 12:19:10,55.882s,PASSED
setEncryptedText,Chrome 66.0.3359.181,,2018-06-04 12:19:10,2018-06-04 12:19:13,3.317s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:19:13,2018-06-04 12:19:17,4.290s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:19:17,2018-06-04 12:19:20,2.364s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:19:20,2018-06-04 12:19:22,2.216s,PASSED
click,Chrome 66.0.3359.181,,2018-06-04 12:19:22,2018-06-04 12:19:24,2.184s,PASSED
