Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
multiple_logins,Chrome 66.0.3359.139,,2018-05-17 09:48:48,2018-05-17 09:49:45,57.355s,PASSED
,,,,,,
Test Cases/valid_login,Chrome 66.0.3359.139,,2018-05-17 09:48:48,2018-05-17 09:49:19,30.609s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 09:48:49,2018-05-17 09:48:57,7.488s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 09:48:57,2018-05-17 09:49:00,3.662s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:49:00,2018-05-17 09:49:06,6.196s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:49:06,2018-05-17 09:49:11,4.289s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:49:11,2018-05-17 09:49:14,3.756s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-17 09:49:14,2018-05-17 09:49:17,2.260s,PASSED
,,,,,,
Test Cases/valid_login,Chrome 66.0.3359.139,,2018-05-17 09:49:19,2018-05-17 09:49:45,26.197s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 09:49:19,2018-05-17 09:49:24,5.269s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 09:49:24,2018-05-17 09:49:28,3.630s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:49:28,2018-05-17 09:49:34,5.893s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:49:34,2018-05-17 09:49:38,4.230s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:49:38,2018-05-17 09:49:41,2.684s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-17 09:49:41,2018-05-17 09:49:43,2.408s,PASSED
