Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regGW_regNode_mapNode_createSite_createBin,Chrome 67.0.3396.79,,2018-06-11 09:44:13,2018-06-11 09:53:22,9m - 8.701s,PASSED
,,,,,,
Test Cases/register_gateway,Chrome 67.0.3396.79,,2018-06-11 09:44:14,2018-06-11 09:45:15,1m - 1.074s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:44:15,2018-06-11 09:44:22,7.589s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:44:22,2018-06-11 09:44:26,3.955s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:44:26,2018-06-11 09:44:32,6.045s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:44:32,2018-06-11 09:44:37,4.293s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:44:37,2018-06-11 09:44:40,3.683s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:44:40,2018-06-11 09:44:42,2.194s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:44:42,2018-06-11 09:44:43,1.078s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-06-11 09:44:43,2018-06-11 09:44:46,2.102s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:44:46,2018-06-11 09:44:48,2.116s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:44:48,2018-06-11 09:44:50,2.221s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:44:50,2018-06-11 09:44:54,4.275s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:44:54,2018-06-11 09:44:58,4.228s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:44:58,2018-06-11 09:45:03,4.307s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:03,2018-06-11 09:45:05,2.192s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:45:05,2018-06-11 09:45:06,1.050s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:45:06,2018-06-11 09:45:08,2.062s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:08,2018-06-11 09:45:11,2.765s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 09:45:11,2018-06-11 09:45:13,2.051s,PASSED
,,,,,,
Test Cases/register_node,Chrome 67.0.3396.79,,2018-06-11 09:45:15,2018-06-11 09:46:09,54.069s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:45:15,2018-06-11 09:45:20,4.792s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:45:20,2018-06-11 09:45:24,3.492s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:45:24,2018-06-11 09:45:29,5.922s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:45:29,2018-06-11 09:45:34,4.269s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:34,2018-06-11 09:45:37,3.522s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:37,2018-06-11 09:45:39,2.254s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:39,2018-06-11 09:45:42,2.231s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:42,2018-06-11 09:45:44,2.214s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:45:44,2018-06-11 09:45:48,4.265s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:45:48,2018-06-11 09:45:52,4.191s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:45:52,2018-06-11 09:45:57,4.348s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:45:57,2018-06-11 09:45:59,2.173s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:45:59,2018-06-11 09:46:00,1.053s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:46:00,2018-06-11 09:46:02,2.052s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:46:02,2018-06-11 09:46:05,2.888s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 09:46:05,2018-06-11 09:46:07,2.019s,PASSED
,,,,,,
Test Cases/map_node,Chrome 67.0.3396.79,,2018-06-11 09:46:09,2018-06-11 09:46:48,38.852s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:46:09,2018-06-11 09:46:14,4.760s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:46:14,2018-06-11 09:46:17,3.439s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:46:17,2018-06-11 09:46:23,5.891s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:46:23,2018-06-11 09:46:28,4.282s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:46:28,2018-06-11 09:46:31,3.573s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:46:31,2018-06-11 09:46:33,2.274s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:46:33,2018-06-11 09:46:36,2.179s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:46:36,2018-06-11 09:46:38,2.173s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:46:38,2018-06-11 09:46:39,1.059s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:46:39,2018-06-11 09:46:41,2.049s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:46:41,2018-06-11 09:46:44,2.809s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 09:46:44,2018-06-11 09:46:46,2.077s,PASSED
,,,,,,
Test Cases/create_first_site,Chrome 67.0.3396.79,,2018-06-11 09:46:48,2018-06-11 09:47:31,43.580s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:46:48,2018-06-11 09:46:53,4.916s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:46:53,2018-06-11 09:46:57,3.526s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:46:57,2018-06-11 09:47:03,5.970s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:47:03,2018-06-11 09:47:07,4.300s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:47:07,2018-06-11 09:47:10,3.631s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:47:10,2018-06-11 09:47:13,2.149s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:47:13,2018-06-11 09:47:15,2.323s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:47:15,2018-06-11 09:47:19,4.295s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:47:19,2018-06-11 09:47:21,2.200s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 09:47:21,2018-06-11 09:47:22,1.063s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 09:47:22,2018-06-11 09:47:25,2.060s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:47:25,2018-06-11 09:47:27,2.808s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 09:47:27,2018-06-11 09:47:29,2.025s,PASSED
,,,,,,
Test Cases/add_weather_station_on_site,Chrome 67.0.3396.79,,2018-06-11 09:47:31,2018-06-11 09:48:17,45.596s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 09:47:32,2018-06-11 09:47:37,4.834s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 09:47:37,2018-06-11 09:47:40,3.567s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:47:40,2018-06-11 09:47:46,5.936s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 09:47:46,2018-06-11 09:47:50,4.302s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 09:47:50,2018-06-11 09:47:54,3.731s,PASSED
