Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
removePlenum_removeFan_deleteBin_deleteSite_unmapNode_unregNode_unregGW,Chrome 67.0.3396.79,,2018-06-11 08:51:06,2018-06-11 08:58:15,7m - 9.478s,FAILED
,,,,,,
Test Cases/remove_plenum_from_bin,Chrome 67.0.3396.79,,2018-06-11 08:51:06,2018-06-11 08:51:55,48.861s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 08:51:07,2018-06-11 08:51:16,8.937s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 08:51:16,2018-06-11 08:51:20,3.616s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:51:20,2018-06-11 08:51:26,5.995s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:51:26,2018-06-11 08:51:30,4.349s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:30,2018-06-11 08:51:34,3.648s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:34,2018-06-11 08:51:36,2.361s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:36,2018-06-11 08:51:39,2.351s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:39,2018-06-11 08:51:41,2.195s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:41,2018-06-11 08:51:43,2.182s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:43,2018-06-11 08:51:45,2.156s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 08:51:45,2018-06-11 08:51:46,1.099s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 08:51:46,2018-06-11 08:51:48,2.123s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:51:48,2018-06-11 08:51:51,2.765s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 08:51:51,2018-06-11 08:51:53,1.966s,PASSED
,,,,,,
Test Cases/remove_fan_from_bin,Chrome 67.0.3396.79,,2018-06-11 08:51:55,2018-06-11 08:52:39,43.706s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 08:51:55,2018-06-11 08:52:00,4.911s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 08:52:00,2018-06-11 08:52:04,3.622s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:52:04,2018-06-11 08:52:10,5.960s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:52:10,2018-06-11 08:52:14,4.292s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:14,2018-06-11 08:52:18,3.575s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:18,2018-06-11 08:52:20,2.327s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:20,2018-06-11 08:52:22,2.168s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:22,2018-06-11 08:52:25,2.172s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:25,2018-06-11 08:52:27,2.175s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:27,2018-06-11 08:52:29,2.189s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 08:52:29,2018-06-11 08:52:30,1.086s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 08:52:30,2018-06-11 08:52:32,2.050s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:32,2018-06-11 08:52:35,2.869s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-11 08:52:35,2018-06-11 08:52:37,1.957s,PASSED
,,,,,,
Test Cases/delete_first_bin,Chrome 67.0.3396.79,,2018-06-11 08:52:39,2018-06-11 08:53:19,40.404s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 08:52:39,2018-06-11 08:52:44,5.032s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 08:52:44,2018-06-11 08:52:48,3.483s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:52:48,2018-06-11 08:52:54,5.907s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:52:54,2018-06-11 08:52:58,4.264s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:52:58,2018-06-11 08:53:02,3.836s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:02,2018-06-11 08:53:04,2.301s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:04,2018-06-11 08:53:06,2.307s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:06,2018-06-11 08:53:08,2.161s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:08,2018-06-11 08:53:11,2.172s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-11 08:53:11,2018-06-11 08:53:12,1.058s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 08:53:12,2018-06-11 08:53:14,2.046s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:14,2018-06-11 08:53:17,3.510s,FAILED
,,,,,,
Test Cases/delete_bin_with_cables_without_ws_fan_plenum,Chrome 67.0.3396.79,,2018-06-11 08:53:19,2018-06-11 08:54:29,1m - 9.387s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-11 08:53:20,2018-06-11 08:53:26,6.767s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-11 08:53:26,2018-06-11 08:53:30,3.514s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:53:30,2018-06-11 08:53:36,5.929s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-11 08:53:36,2018-06-11 08:53:40,4.320s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:40,2018-06-11 08:53:44,3.517s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:44,2018-06-11 08:53:46,2.332s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:46,2018-06-11 08:53:48,2.288s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:48,2018-06-11 08:53:51,2.152s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:51,2018-06-11 08:53:53,2.152s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-11 08:53:53,2018-06-11 08:53:55,2.104s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:55,2018-06-11 08:53:57,2.116s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:57,2018-06-11 08:53:59,2.196s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:53:59,2018-06-11 08:54:01,2.411s,PASSED
click,Chrome 67.0.3396.79,,2018-06-11 08:54:01,2018-06-11 08:54:04,2.198s,PASSED
