Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
side_nav_update_pref,Chrome 67.0.3396.79,,2018-06-12 09:16:33,2018-06-12 09:18:31,1m - 57.905s,PASSED
,,,,,,
Test Cases/side_navigation,Chrome 67.0.3396.79,,2018-06-12 09:16:34,2018-06-12 09:17:51,1m - 17.470s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 09:16:35,2018-06-12 09:16:42,7.548s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 09:16:42,2018-06-12 09:16:45,3.271s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 09:16:45,2018-06-12 09:16:51,5.998s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-06-12 09:16:51,2018-06-12 09:16:55,3.542s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:16:55,2018-06-12 09:16:59,3.568s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:16:59,2018-06-12 09:17:01,2.170s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:01,2018-06-12 09:17:03,2.463s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:03,2018-06-12 09:17:05,2.281s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:05,2018-06-12 09:17:08,2.629s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:08,2018-06-12 09:17:11,2.484s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:11,2018-06-12 09:17:13,2.392s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:13,2018-06-12 09:17:15,2.237s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:15,2018-06-12 09:17:18,2.358s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:18,2018-06-12 09:17:20,2.222s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:20,2018-06-12 09:17:22,2.260s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:22,2018-06-12 09:17:24,2.360s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:24,2018-06-12 09:17:27,2.852s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:27,2018-06-12 09:17:30,2.252s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:30,2018-06-12 09:17:32,2.172s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:32,2018-06-12 09:17:32,0.014s,NOT_RUN
click,Chrome 67.0.3396.79,,2018-06-12 09:17:32,2018-06-12 09:17:34,2.158s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:34,2018-06-12 09:17:36,2.203s,PASSED
waitForElementPresent,Chrome 67.0.3396.79,,2018-06-12 09:17:36,2018-06-12 09:17:37,1.088s,PASSED
waitForElementClickable,Chrome 67.0.3396.79,,2018-06-12 09:17:37,2018-06-12 09:17:39,2.117s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:17:39,2018-06-12 09:17:47,7.807s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 09:17:47,2018-06-12 09:17:49,2.016s,PASSED
,,,,,,
Test Cases/update_preference,Chrome 67.0.3396.79,,2018-06-12 09:17:51,2018-06-12 09:18:31,39.867s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-12 09:17:52,2018-06-12 09:17:56,4.698s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-12 09:17:56,2018-06-12 09:17:59,3.179s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 09:17:59,2018-06-12 09:18:05,5.930s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-12 09:18:05,2018-06-12 09:18:10,4.281s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:18:10,2018-06-12 09:18:13,3.570s,PASSED
waitForElementNotVisible,Chrome 67.0.3396.79,,2018-06-12 09:18:13,2018-06-12 09:18:20,6.631s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:18:20,2018-06-12 09:18:22,2.334s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:18:22,2018-06-12 09:18:24,2.152s,PASSED
click,Chrome 67.0.3396.79,,2018-06-12 09:18:24,2018-06-12 09:18:27,2.712s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-12 09:18:27,2018-06-12 09:18:29,1.991s,PASSED
