Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
system_settings_gateway_node,Chrome 66.0.3359.139,,2018-05-17 09:41:34,2018-05-17 09:43:50,2m - 15.573s,PASSED
,,,,,,
Test Cases/unregister_gateway,Chrome 66.0.3359.139,,2018-05-17 09:41:35,2018-05-17 09:42:18,43.735s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 09:41:36,2018-05-17 09:41:44,7.745s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 09:41:44,2018-05-17 09:41:47,3.549s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:41:47,2018-05-17 09:41:53,6.115s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:41:53,2018-05-17 09:41:58,4.298s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:41:58,2018-05-17 09:42:01,3.720s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:01,2018-05-17 09:42:04,2.258s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:04,2018-05-17 09:42:06,2.201s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:06,2018-05-17 09:42:08,2.147s,PASSED
waitForElementPresent,Chrome 66.0.3359.139,,2018-05-17 09:42:08,2018-05-17 09:42:09,1.126s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-17 09:42:09,2018-05-17 09:42:11,2.181s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:11,2018-05-17 09:42:14,2.897s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-17 09:42:14,2018-05-17 09:42:16,2.375s,PASSED
,,,,,,
Test Cases/register_gateway,Chrome 66.0.3359.139,,2018-05-17 09:42:19,2018-05-17 09:43:10,51.224s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 09:42:19,2018-05-17 09:42:24,5.139s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 09:42:24,2018-05-17 09:42:28,3.576s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:42:28,2018-05-17 09:42:34,6.008s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:42:34,2018-05-17 09:42:38,4.351s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:38,2018-05-17 09:42:42,3.892s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:42,2018-05-17 09:42:44,2.298s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:42:44,2018-05-17 09:42:48,4.276s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:42:48,2018-05-17 09:42:53,4.305s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:42:53,2018-05-17 09:42:57,4.363s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:42:57,2018-05-17 09:42:59,2.199s,PASSED
waitForElementPresent,Chrome 66.0.3359.139,,2018-05-17 09:42:59,2018-05-17 09:43:00,1.071s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-17 09:43:00,2018-05-17 09:43:02,2.082s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:43:02,2018-05-17 09:43:05,2.842s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-17 09:43:05,2018-05-17 09:43:08,2.396s,PASSED
,,,,,,
Test Cases/map_node,Chrome 66.0.3359.139,,2018-05-17 09:43:10,2018-05-17 09:43:50,40.060s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-17 09:43:10,2018-05-17 09:43:15,5.139s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-17 09:43:15,2018-05-17 09:43:19,3.638s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:43:19,2018-05-17 09:43:25,5.979s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-17 09:43:25,2018-05-17 09:43:29,4.319s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:43:29,2018-05-17 09:43:33,3.835s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:43:33,2018-05-17 09:43:35,2.228s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:43:35,2018-05-17 09:43:37,2.265s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:43:37,2018-05-17 09:43:40,2.196s,PASSED
waitForElementPresent,Chrome 66.0.3359.139,,2018-05-17 09:43:40,2018-05-17 09:43:41,1.069s,PASSED
waitForElementClickable,Chrome 66.0.3359.139,,2018-05-17 09:43:41,2018-05-17 09:43:43,2.051s,PASSED
click,Chrome 66.0.3359.139,,2018-05-17 09:43:43,2018-05-17 09:43:45,2.748s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-17 09:43:45,2018-05-17 09:43:48,2.311s,PASSED
